NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.05,0.06,0.06,0.06,0.05
4,0.05,0.05,0.04,0.05,0.07
8,0.11,0.11,0.16,0.06,0.06
16,0.12,0.06,0.19,0.07,0.06
32,0.06,0.06,0.06,0.08,0.11
64,0.07,0.09,0.08,0.08,0.07
