NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.08,0.06,0.06,0.06,0.06
4,0.04,0.04,0.05,0.04,0.04
8,0.03,0.03,0.03,0.03,0.03
16,0.02,0.02,0.02,0.02,0.02
32,0.03,0.02,0.02,0.02,0.02
64,0.02,0.02,0.02,0.02,0.03
