NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.17,0.16,0.17,0.18,0.17
4,0.08,0.09,0.09,0.09,0.08
8,0.08,0.13,0.11,0.10,0.08
16,0.09,0.11,0.10,0.08,0.08
32,0.13,0.13,0.13,0.15,0.13
64,0.11,0.14,0.12,0.11,0.14
