NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.08,0.09,0.08,0.08,0.08
4,0.11,0.10,0.11,0.11,0.13
8,0.17,0.15,0.15,0.14,0.14
16,0.36,0.36,0.37,0.36,0.36
32,0.67,0.67,0.67,0.65,0.65
64,1.29,1.28,1.27,1.27,1.28
