NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.13,0.13,0.13,0.11,0.10
4,0.09,0.10,0.10,0.11,0.11
8,0.13,0.15,0.15,0.15,0.14
16,0.29,0.29,0.33,0.34,0.32
32,0.62,0.66,0.64,0.63,0.63
64,1.27,1.26,1.28,1.26,1.27
