NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.17,0.20,0.23,0.20,0.23
4,0.50,0.47,0.47,0.55,0.47
8,0.74,0.71,0.67,0.62,0.60
16,1.16,1.07,1.00,1.09,1.15
32,1.87,1.84,1.90,2.02,1.77
64,3.55,3.34,2.94,3.39,3.47
