NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00
64,0.00,0.00,0.00,0.00,0.00
