NbThreads,Time1,Time2,Time3,Time4,Time5
1,0.07,0.07,0.07,0.07,0.07
2,0.07,0.07,0.07,0.07,0.07
4,0.07,0.07,0.07,0.07,0.07
8,0.07,0.07,0.07,0.07,0.07
16,0.07,0.07,0.07,0.07,0.07
32,0.09,0.14,0.07,0.07,0.07
64,0.16,0.18,0.18,0.19,0.10
