NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.11,0.11,0.11,0.10,0.10
4,0.05,0.05,0.05,0.05,0.05
8,0.02,0.02,0.02,0.02,0.02
16,0.01,0.01,0.01,0.01,0.01
32,0.02,0.06,0.06,0.02,0.04
64,0.39,0.38,0.15,0.76,0.30
