NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.11,0.12,0.11,0.11,0.11
4,0.06,0.06,0.06,0.06,0.06
8,0.08,0.09,0.05,0.05,0.07
16,0.13,0.09,0.12,0.12,0.12
32,0.15,0.16,0.15,0.14,0.15
64,0.15,0.15,0.15,0.14,0.15
