NbThreads,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9
2,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
64,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
