NbThreads,Time1,Time2,Time3,Time4,Time5
2,1.05,1.81,1.48,1.25,1.07
4,3.40,3.13,3.10,3.34,3.53
8,4.89,4.71,4.28,4.43,4.66
16,6.78,7.48,7.22,7.77,7.54
32,13.33,12.74,13.54,13.59,13.46
64,25.54,25.42,25.38,25.64,25.45
