NbThreads,Time1,Time2,Time3,Time4,Time5
2,1.41,0.99,1.03,1.09,1.07
4,3.32,3.43,3.34,3.25,3.22
8,4.90,4.43,4.94,4.49,4.29
16,6.34,7.36,7.59,7.21,7.44
32,13.45,13.48,13.54,13.21,13.30
64,25.73,25.46,25.63,25.48,25.23
