NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.10,0.10,0.10,0.11,0.11
4,0.27,0.23,0.23,0.25,0.27
8,0.54,0.52,0.72,0.63,0.54
16,1.19,1.15,1.14,1.19,1.30
32,2.75,2.48,2.76,2.71,2.59
64,6.30,6.69,6.63,6.35,6.55
