NbThreads,Time1,Time2,Time3,Time4,Time5
1,0.11,0.09,0.09,0.09,0.09
2,0.09,0.10,0.10,0.09,0.10
4,0.10,0.10,0.11,0.09,0.09
8,0.12,0.11,0.12,0.10,0.11
16,0.14,0.18,0.21,0.29,0.20
32,0.40,0.34,0.23,0.22,0.25
64,0.68,0.33,0.60,0.26,0.53
