NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.65,0.82,0.46,0.61,0.58
4,1.62,1.22,1.48,0.85,1.29
8,2.80,2.95,2.95,2.22,2.29
16,12.24,12.88,11.21,13.48,11.25
32,20.89,20.96,18.60,20.97,22.96
64,33.27,31.02,32.65,30.29,32.37
