NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.13,0.12,0.12,0.13,0.13
4,0.06,0.06,0.06,0.06,0.06
8,0.05,0.10,0.07,0.12,0.06
16,0.21,0.37,0.41,0.59,0.31
32,3.92,3.61,1.48,1.69,4.94
64,7.91,22.41,16.49,63.58,18.46
