NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.14,0.13,0.12,0.13,0.13
4,0.06,0.06,0.06,0.06,0.06
8,0.13,0.08,0.05,0.05,0.05
16,0.37,0.15,0.66,0.25,0.50
32,2.84,4.14,3.64,3.29,2.44
64,22.90,37.61,23.64,26.82,46.29
