NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.23,0.26,0.26,0.24,0.24
4,0.57,0.58,0.56,0.51,0.53
8,0.87,0.89,1.21,2.15,1.72
16,3.97,4.30,4.37,5.01,3.73
32,11.16,10.76,10.24,11.02,11.23
64,24.77,21.54,23.79,22.16,23.87
