NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.23,0.22,0.22,0.18,0.22
4,0.60,0.61,0.58,0.60,0.57
8,1.39,1.35,1.26,1.34,1.40
16,2.96,2.91,2.84,2.97,2.88
32,7.87,8.08,7.84,7.48,7.26
64,16.51,15.33,17.84,16.42,18.82
