NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.21,0.20,0.22,0.20,0.20
4,0.50,0.47,0.43,0.44,0.44
8,0.58,0.63,0.61,0.66,0.63
16,1.02,1.07,1.00,0.98,0.98
32,1.53,2.06,1.74,2.24,1.91
64,3.66,3.61,3.52,3.60,3.62
