NbThreads,Time1,Time2,Time3,Time4,Time5
1,0.10,0.09,0.09,0.10,0.10
2,0.10,0.10,0.10,0.10,0.10
4,0.09,0.10,0.10,0.10,0.09
8,0.10,0.13,0.12,0.10,0.12
16,0.20,0.19,0.26,0.17,0.17
32,0.42,0.29,0.47,0.27,0.33
64,0.60,0.69,0.60,0.65,0.83
