NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.05,0.05,0.05,0.05,0.05
4,0.03,0.03,0.03,0.03,0.03
8,0.03,0.03,0.03,0.03,0.02
16,0.02,0.02,0.02,0.01,0.01
32,0.02,0.02,0.02,0.02,0.02
64,0.02,0.02,0.03,0.03,0.03
