NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.49,0.24,0.08,0.35,0.20
4,0.18,0.17,0.19,0.17,0.33
8,0.53,0.60,0.32,0.18,0.42
16,0.52,0.82,0.60,0.26,0.52
32,0.69,1.13,1.41,1.29,0.93
64,1.27,1.32,1.76,1.67,2.03
