NbThreads,Time1,Time2,Time3,Time4,Time5
1,0.09,0.09,0.09,0.09,0.10
2,0.09,0.09,0.09,0.09,0.09
4,0.09,0.09,0.09,0.09,0.10
8,0.10,0.11,0.10,0.10,0.10
16,0.12,0.10,0.11,0.11,0.13
32,0.11,0.12,0.15,0.11,0.12
64,0.14,0.14,0.15,0.13,0.13
