NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.04,0.04,0.04,0.04,0.04
4,0.02,0.02,0.02,0.03,0.03
8,0.02,0.02,0.02,0.03,0.02
16,0.03,0.03,0.08,0.03,0.10
32,0.13,0.07,0.45,0.05,0.16
64,1.54,0.62,1.09,0.53,0.97
