NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.05,0.05,0.06,0.05,0.05
4,0.03,0.05,0.08,0.07,0.07
8,0.04,0.03,0.07,0.11,0.05
16,0.24,0.18,0.19,0.05,0.07
32,0.09,0.65,0.84,0.85,0.50
64,2.53,0.83,0.74,2.53,2.70
