NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.15,0.21,0.20,0.21,0.16
4,0.51,0.52,0.51,0.43,0.45
8,0.99,1.16,0.80,1.11,1.11
16,2.07,2.53,2.21,2.32,2.30
32,5.76,5.72,5.84,5.53,5.80
64,16.18,14.33,14.47,14.18,13.90
