NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.12,0.11,0.11,0.11,0.11
4,0.07,0.07,0.07,0.07,0.07
8,0.07,0.07,0.07,0.07,0.06
16,0.19,0.20,0.21,0.23,0.20
32,0.37,0.38,0.37,0.39,0.36
64,0.60,0.61,0.57,0.60,0.58
