NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.05,0.05,0.05,0.06,0.06
4,0.04,0.04,0.04,0.04,0.04
8,0.04,0.03,0.03,0.03,0.04
16,0.04,0.04,0.04,0.04,0.04
32,0.04,0.04,0.04,0.04,0.04
64,0.04,0.05,0.04,0.04,0.04
