NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.04,0.04,0.04,0.04,0.04
4,0.02,0.02,0.02,0.02,0.02
8,0.02,0.02,0.01,0.02,0.01
16,0.01,0.01,0.01,0.01,0.01
32,0.01,0.08,0.03,0.03,0.08
64,0.31,0.03,0.15,0.19,0.49
