NbThreads,Time1,Time2,Time3,Time4,Time5
2,0.04,0.04,0.04,0.04,0.04
4,0.02,0.02,0.03,0.02,0.02
8,0.02,0.02,0.01,0.02,0.01
16,0.01,0.01,0.01,0.01,0.01
32,0.03,0.08,0.05,0.05,0.03
64,0.04,0.16,0.18,0.06,0.28
